Host,Port,Protocol,Service,State,Version
192.168.10.19,21,tcp,ftp,open,Unknown
192.168.10.19,22,tcp,ssh,open,Unknown
192.168.10.19,23,tcp,telnet,open,Unknown
192.168.10.19,25,tcp,smtp,open,Unknown
192.168.10.19,53,tcp,domain,open,Unknown
192.168.10.19,80,tcp,http,open,Unknown
192.168.10.19,111,tcp,rpcbind,open,Unknown
192.168.10.19,139,tcp,netbios-ssn,open,Unknown
192.168.10.19,445,tcp,microsoft-ds,open,Unknown
192.168.10.19,512,tcp,exec,open,Unknown
192.168.10.19,513,tcp,login,open,Unknown
192.168.10.19,514,tcp,shell,open,Unknown
192.168.10.19,1099,tcp,rmiregistry,open,Unknown
192.168.10.19,1524,tcp,ingreslock,open,Unknown
192.168.10.19,2049,tcp,nfs,open,Unknown
192.168.10.19,2121,tcp,ccproxy-ftp,open,Unknown
192.168.10.19,3306,tcp,mysql,open,Unknown
192.168.10.19,5432,tcp,postgresql,open,Unknown
192.168.10.19,5900,tcp,vnc,open,Unknown
192.168.10.19,6000,tcp,X11,open,Unknown
192.168.10.19,6667,tcp,irc,open,Unknown
192.168.10.19,8009,tcp,ajp13,open,Unknown
192.168.10.19,8180,tcp,,open,Unknown
